"","wavenumber","intensity","sample_name","group"
"6350658",784.2,0.001,5189,5189
"6350866",785.2,0.001,5189,5189
"6351074",786.3,0.001,5189,5189
"6351282",787.3,0.001,5189,5189
"6351490",788.3,0,5189,5189
"6351698",789.4,0,5189,5189
"6351906",790.4,0,5189,5189
"6352114",791.4,0.001,5189,5189
"6352322",792.4,0.001,5189,5189
"6352530",793.5,0.001,5189,5189
"6352738",794.5,0.001,5189,5189
"6352946",795.5,0.001,5189,5189
"6353154",796.5,0.001,5189,5189
"6353362",797.6,0.001,5189,5189
"6353570",798.6,0.001,5189,5189
"6353778",799.6,0.001,5189,5189
"6353986",800.6,0.001,5189,5189
"6354194",801.7,0.001,5189,5189
"6354402",802.7,0.001,5189,5189
"6354610",803.7,0.001,5189,5189
"6354818",804.7,0.001,5189,5189
"6355026",805.8,0,5189,5189
"6355234",806.8,0,5189,5189
"6355442",807.8,0,5189,5189
"6355650",808.8,0.001,5189,5189
"6355858",809.9,0.001,5189,5189
"6356066",810.9,0.001,5189,5189
"6356274",811.9,0.001,5189,5189
"6356482",812.9,0.001,5189,5189
"6356690",814,0.001,5189,5189
"6356898",815,0.001,5189,5189
"6357106",816,0.001,5189,5189
"6357314",817,0.001,5189,5189
"6357522",818.1,0.001,5189,5189
"6357730",819.1,0.001,5189,5189
"6357938",820.1,0.001,5189,5189
"6358146",821.2,0.001,5189,5189
"6358354",822.2,0.001,5189,5189
"6358562",823.2,0.001,5189,5189
"6358770",824.2,0.002,5189,5189
"6358978",825.3,0.002,5189,5189
"6359186",826.3,0.002,5189,5189
"6359394",827.3,0.002,5189,5189
"6359602",828.3,0.001,5189,5189
"6359810",829.4,0.001,5189,5189
"6360018",830.4,0.001,5189,5189
"6360226",831.4,0.001,5189,5189
"6360434",832.4,0.001,5189,5189
"6360642",833.5,0.001,5189,5189
"6360850",834.5,0.001,5189,5189
"6361058",835.5,0.002,5189,5189
"6361266",836.5,0.002,5189,5189
"6361474",837.6,0.002,5189,5189
"6361682",838.6,0.002,5189,5189
"6361890",839.6,0.001,5189,5189
"6362098",840.6,0.001,5189,5189
"6362306",841.7,0.002,5189,5189
"6362514",842.7,0.002,5189,5189
"6362722",843.7,0.003,5189,5189
"6362930",844.7,0.003,5189,5189
"6363138",845.8,0.003,5189,5189
"6363346",846.8,0.003,5189,5189
"6363554",847.8,0.004,5189,5189
"6363762",848.9,0.004,5189,5189
"6363970",849.9,0.004,5189,5189
"6364178",850.9,0.003,5189,5189
"6364386",851.9,0.004,5189,5189
"6364594",853,0.004,5189,5189
"6364802",854,0.005,5189,5189
"6365010",855,0.005,5189,5189
"6365218",856,0.005,5189,5189
"6365426",857.1,0.005,5189,5189
"6365634",858.1,0.006,5189,5189
"6365842",859.1,0.006,5189,5189
"6366050",860.1,0.006,5189,5189
"6366258",861.2,0.007,5189,5189
"6366466",862.2,0.007,5189,5189
"6366674",863.2,0.008,5189,5189
"6366882",864.2,0.008,5189,5189
"6367090",865.3,0.009,5189,5189
"6367298",866.3,0.009,5189,5189
"6367506",867.3,0.01,5189,5189
"6367714",868.3,0.011,5189,5189
"6367922",869.4,0.011,5189,5189
"6368130",870.4,0.012,5189,5189
"6368338",871.4,0.012,5189,5189
"6368546",872.4,0.013,5189,5189
"6368754",873.5,0.013,5189,5189
"6368962",874.5,0.013,5189,5189
"6369170",875.5,0.014,5189,5189
"6369378",876.6,0.014,5189,5189
"6369586",877.6,0.013,5189,5189
"6369794",878.6,0.013,5189,5189
"6370002",879.6,0.013,5189,5189
"6370210",880.7,0.013,5189,5189
"6370418",881.7,0.013,5189,5189
"6370626",882.7,0.014,5189,5189
"6370834",883.7,0.015,5189,5189
"6371042",884.8,0.017,5189,5189
"6371250",885.8,0.019,5189,5189
"6371458",886.8,0.021,5189,5189
"6371666",887.8,0.024,5189,5189
"6371874",888.9,0.025,5189,5189
"6372082",889.9,0.027,5189,5189
"6372290",890.9,0.027,5189,5189
"6372498",891.9,0.027,5189,5189
"6372706",893,0.027,5189,5189
"6372914",894,0.026,5189,5189
"6373122",895,0.025,5189,5189
"6373330",896,0.023,5189,5189
"6373538",897.1,0.021,5189,5189
"6373746",898.1,0.018,5189,5189
"6373954",899.1,0.016,5189,5189
"6374162",900.1,0.014,5189,5189
"6374370",901.2,0.012,5189,5189
"6374578",902.2,0.01,5189,5189
"6374786",903.2,0.008,5189,5189
"6374994",904.3,0.007,5189,5189
"6375202",905.3,0.006,5189,5189
"6375410",906.3,0.005,5189,5189
"6375618",907.3,0.004,5189,5189
"6375826",908.4,0.004,5189,5189
"6376034",909.4,0.004,5189,5189
"6376242",910.4,0.003,5189,5189
"6376450",911.4,0.003,5189,5189
"6376658",912.5,0.002,5189,5189
"6376866",913.5,0.002,5189,5189
"6377074",914.5,0.002,5189,5189
"6377282",915.5,0.002,5189,5189
"6377490",916.6,0.002,5189,5189
"6377698",917.6,0.001,5189,5189
"6377906",918.6,0.004,5189,5189
"6378114",919.6,0.006,5189,5189
"6378322",920.7,0.006,5189,5189
"6378530",921.7,0.006,5189,5189
"6378738",922.7,0.004,5189,5189
"6378946",923.7,0.001,5189,5189
"6379154",924.8,0.001,5189,5189
"6379362",925.8,0.002,5189,5189
"6379570",926.8,0.002,5189,5189
"6379778",927.8,0.002,5189,5189
"6379986",928.9,0.002,5189,5189
"6380194",929.9,0.002,5189,5189
"6380402",930.9,0.002,5189,5189
"6380610",931.9,0.002,5189,5189
"6380818",933,0.002,5189,5189
"6381026",934,0.001,5189,5189
"6381234",935,0.001,5189,5189
"6381442",936.1,0.001,5189,5189
"6381650",937.1,0.001,5189,5189
"6381858",938.1,0.001,5189,5189
"6382066",939.1,0.001,5189,5189
"6382274",940.2,0.002,5189,5189
"6382482",941.2,0.002,5189,5189
"6382690",942.2,0.001,5189,5189
"6382898",943.2,0.002,5189,5189
"6383106",944.3,0.001,5189,5189
"6383314",945.3,0.002,5189,5189
"6383522",946.3,0.001,5189,5189
"6383730",947.3,0.001,5189,5189
"6383938",948.4,0.001,5189,5189
"6384146",949.4,0.001,5189,5189
"6384354",950.4,0.001,5189,5189
"6384562",951.4,0.001,5189,5189
"6384770",952.5,0.001,5189,5189
"6384978",953.5,0.001,5189,5189
"6385186",954.5,0.001,5189,5189
"6385394",955.5,0.001,5189,5189
"6385602",956.6,0.001,5189,5189
"6385810",957.6,0.001,5189,5189
"6386018",958.6,0.001,5189,5189
"6386226",959.6,0.001,5189,5189
"6386434",960.7,0.001,5189,5189
"6386642",961.7,0.002,5189,5189
"6386850",962.7,0.002,5189,5189
"6387058",963.8,0.002,5189,5189
"6387266",964.8,0.001,5189,5189
"6387474",965.8,0.001,5189,5189
"6387682",966.8,0.001,5189,5189
"6387890",967.9,0.001,5189,5189
"6388098",968.9,0.001,5189,5189
"6388306",969.9,0.001,5189,5189
"6388514",970.9,0.001,5189,5189
"6388722",972,0.001,5189,5189
"6388930",973,0.002,5189,5189
"6389138",974,0.002,5189,5189
"6389346",975,0.001,5189,5189
"6389554",976.1,0.001,5189,5189
"6389762",977.1,0.001,5189,5189
"6389970",978.1,0.001,5189,5189
"6390178",979.1,0.001,5189,5189
"6390386",980.2,0.001,5189,5189
"6390594",981.2,0,5189,5189
"6390802",982.2,0.001,5189,5189
"6391010",983.2,0.001,5189,5189
"6391218",984.3,0.001,5189,5189
"6391426",985.3,0,5189,5189
"6391634",986.3,0.001,5189,5189
"6391842",987.3,0,5189,5189
"6392050",988.4,0.001,5189,5189
"6392258",989.4,0.001,5189,5189
"6392466",990.4,0.001,5189,5189
"6392674",991.5,0.001,5189,5189
"6392882",992.5,0.001,5189,5189
"6393090",993.5,0,5189,5189
"6393298",994.5,0.001,5189,5189
"6393506",995.6,0.001,5189,5189
"6393714",996.6,0.001,5189,5189
"6393922",997.6,0.001,5189,5189
"6394130",998.6,0.002,5189,5189
"6394338",999.7,0.002,5189,5189
"6394546",1000.7,0.002,5189,5189
"6394754",1001.7,0.002,5189,5189
"6394962",1002.7,0.002,5189,5189
"6395170",1003.8,0.003,5189,5189
"6395378",1004.8,0.003,5189,5189
"6395586",1005.8,0.003,5189,5189
"6395794",1006.8,0.003,5189,5189
"6396002",1007.9,0.003,5189,5189
"6396210",1008.9,0.003,5189,5189
"6396418",1009.9,0.004,5189,5189
"6396626",1010.9,0.004,5189,5189
"6396834",1012,0.004,5189,5189
"6397042",1013,0.005,5189,5189
"6397250",1014,0.005,5189,5189
"6397458",1015,0.006,5189,5189
"6397666",1016.1,0.006,5189,5189
"6397874",1017.1,0.006,5189,5189
"6398082",1018.1,0.006,5189,5189
"6398290",1019.1,0.007,5189,5189
"6398498",1020.2,0.007,5189,5189
"6398706",1021.2,0.008,5189,5189
"6398914",1022.2,0.008,5189,5189
"6399122",1023.3,0.01,5189,5189
"6399330",1024.3,0.011,5189,5189
"6399538",1025.3,0.012,5189,5189
"6399746",1026.3,0.011,5189,5189
"6399954",1027.4,0.011,5189,5189
"6400162",1028.4,0.012,5189,5189
"6400370",1029.4,0.013,5189,5189
"6400578",1030.4,0.015,5189,5189
"6400786",1031.5,0.016,5189,5189
"6400994",1032.5,0.016,5189,5189
"6401202",1033.5,0.017,5189,5189
"6401410",1034.5,0.017,5189,5189
"6401618",1035.6,0.019,5189,5189
"6401826",1036.6,0.02,5189,5189
"6402034",1037.6,0.021,5189,5189
"6402242",1038.6,0.022,5189,5189
"6402450",1039.7,0.024,5189,5189
"6402658",1040.7,0.026,5189,5189
"6402866",1041.7,0.028,5189,5189
"6403074",1042.7,0.031,5189,5189
"6403282",1043.8,0.034,5189,5189
"6403490",1044.8,0.038,5189,5189
"6403698",1045.8,0.041,5189,5189
"6403906",1046.8,0.045,5189,5189
"6404114",1047.9,0.05,5189,5189
"6404322",1048.9,0.055,5189,5189
"6404530",1049.9,0.062,5189,5189
"6404738",1051,0.07,5189,5189
"6404946",1052,0.082,5189,5189
"6405154",1053,0.098,5189,5189
"6405362",1054,0.118,5189,5189
"6405570",1055.1,0.15,5189,5189
"6405778",1056.1,0.196,5189,5189
"6405986",1057.1,0.259,5189,5189
"6406194",1058.1,0.348,5189,5189
"6406402",1059.2,0.437,5189,5189
"6406610",1060.2,0.536,5189,5189
"6406818",1061.2,0.611,5189,5189
